 Charles Barkley
 Alexi Lalas
 Steven Gerrard
 George Best
 Yao Ming
 Michael Schumacher
 Randy Couture
 Eric Heiden
 David Robinson
 Apolo Anton Ohno
 Frank Thomas
 Jimmie Johnson
 Willie Stargell
 "Sugar" Ray Leonard
 Kirby Puckett
 Tony Gwynn
 LaDainian Tomlinson
 Pedro Martinez
 Shaun White
 Ronaldinho
 Jennie Finch
 Mia Hamm
 Pete Sampras
 Dirk Nowitzki
 Ernie Banks
 Usain Bolt
 Kerri Strug
 Phil Mickelson
 Ronaldo
 Maria Sharapova
 Drew Brees
 Kevin Garnett
 Steve Nash
 Ray Bourque
 Ichiro Suzuki
 Billie Jean King
 Dale Earnhardt Jr.
 Rafael Nadal
 Richard Petty
 Bill Elliot
 Chris Evert
 Steffi Graf
 Maradona
 Mark Messier
 Lionel Messi
 Cristiano Ronaldo
 Bobby Orr
 Jim Thorpe
 Emmitt Smith
 David Beckham
 Arnold Palmer
 Jack Nicklaus
 Landon Donovan
 Andre Agassi
 Michael Phelps
 Roger Federer
 Tiger Woods
 Kobe Bryant
 Shaquille O'Neil
 Jim Brown
 Steve Yzerman
 Joe Namath
 Julius Erving
 Ken Griffey Jr.
 Reggie White
 Kurt Warner
 Wilt Chamberlain
 Barry Sanders
 Tim Tebow
 Pat Tillman
 Peyton Manning
 John Elway
 Mario Lemieux
 Tom Brady
 Joe Montana
 Derek Jeter
 Lou Gehrig
 Walter Payton
 Wayne Gretzky
 Bill Russell
 Larry Bird
 Jerry Rice
 Yogi Berra 
 Brett Favre
 Gordie Howe
 Magic Johnson
 Cal Ripken, Jr.
 Stan Musial
 Jesse Owens
 Joe Louis
 Joe DiMaggio
 Roberto Clemente
 Lance Armstrong
 Pele
 Mickey Mantle
 Willie Mays
 Muhammad Ali
 Babe Ruth
 Michael Jordan
 Jackie Robinson
