Adrien Brody
Al Pacino
Alan Arkin
Alec Guinness
Alejandro González Iñárritu
Alfonso Cuarón
Alice Brady
Alicia Vikander
Allison Janney
Ang Lee
Angelina Jolie
Anjelica Huston
Anna Magnani
Anna Paquin
Anne Bancroft
Anne Baxter
Anne Hathaway
Anne Revere
Anthony Hopkins
Anthony Minghella
Anthony Quinn
Art Carney
Asghar Farhadi
Audrey Hepburn
Barbra Streisand
Barry Fitzgerald
Barry Levinson
Beatrice Straight
Ben Johnson
Ben Kingsley
Benicio del Toro
Bernardo Bertolucci
Bette Davis
Billy Wilder
Bob Fosse
Brad Pitt
Brenda Fricker
Brie Larson
Broderick Crawford
Burl Ives
Burt Lancaster
Carol Reed
Casey Affleck
Cate Blanchett
Catherine Zeta-Jones
Celeste Holm
Charles Coburn
Charles Laughton
Charlize Theron
Charlton Heston
Cher
Chris Cooper
Christian Bale
Christoph Waltz
Christopher Plummer
Christopher Walken
Claire Trevor
Clark Gable
Claudette Colbert
Cliff Robertson
Clint Eastwood
Cloris Leachman
Colin Firth
Cuba Gooding, Jr.
Damien Chazelle
Daniel Day-Lewis
Danny Boyle
David Lean
David Niven
Dean Jagger
Delbert Mann
Denys Arcand
Denzel Washington
Diane Keaton
Dianne Wiest
Don Ameche
Donald Crisp
Donna Reed
Dorothy Malone
Dustin Hoffman
Ed Begley
Eddie Redmayne
Edmond O'Brien
Edmund Gwenn
Eileen Heckart
Elia Kazan
Elizabeth Taylor
Ellen Burstyn
Emil Jannings
Emma Stone
Emma Thompson
Ernest Borgnine
Estelle Parsons
Ethan Coen
Ethel Barrymore
Eva Marie Saint
F. Murray Abraham
Fay Bainter
Faye Dunaway
Forest Whitaker
Frances McDormand
Francis Ford Coppola
Frank Borzage
Frank Capra
Frank Lloyd
Frank Sinatra
Franklin J. Schaffner
Fred Zinnemann
Fredric March
Gale Sondergaard
Gary Cooper
Gary Oldman
Geena Davis
Gene Hackman
Geoffrey Rush
George Arliss
George Burns
George Chakiris
George Clooney
George Cukor
George Roy Hill
George Kennedy
George Sanders
George C. Scott
George Stevens
Geraldine Page
Gig Young
Ginger Rogers
Glenda Jackson
Gloria Grahame
Goldie Hawn
Grace Kelly
Greer Garson
Gregory Peck
Guillermo del Toro
Gwyneth Paltrow
Haing S. Ngor
Halle Berry
Harold Russell
Harry "Bing" Crosby
Hattie McDaniel
Heath Ledger
Helen Hayes
Helen Hunt
Helen Mirren
Henry Fonda
Hilary Swank
Holly Hunter
Hugh Griffith
Humphrey Bogart
Ingrid Bergman
Jack Albertson
Jack Lemmon
Jack Nicholson
Jack Palance
James L. Brooks
James Cagney
James Cameron
James Coburn
James Dunn
James Stewart
Jamie Foxx
Jane Darwell
Jane Fonda
Jane Wyman
Janet Gaynor
Jared Leto
Jason Robards
Javier Bardem
Jean Dujardin
Jeff Bridges
Jennifer Connelly
Jennifer Hudson
Jennifer Jones
Jennifer Lawrence
Jeremy Irons
Jerome Robbins
Jessica Lange
Jessica Tandy
Jim Broadbent
Jo Van Fleet
Joan Crawford
Joan Fontaine
Joanne Woodward
Joaquin Phoenix
Jodie Foster
Joe Pesci
Joel Coen
Joel Grey
John G. Avildsen
John Ford
John Gielgud
John Houseman
John Huston
John Mills
John Schlesinger
John Wayne
Jon Voight
Jonathan Demme
J. K. Simmons
Bong Joon-ho
José Ferrer
Joseph L. Mankiewicz
Joseph Schildkraut
Josephine Hull
Judi Dench
Judy Holliday
Julia Roberts
Julianne Moore
Julie Andrews
Julie Christie
Juliette Binoche
Karl Malden
Kate Winslet
Katharine Hepburn
Kathryn Bigelow
Kathy Bates
Katina Paxinou
Kevin Costner
Kevin Kline
Kevin Spacey
Kim Basinger
Kim Hunter
Laura Dern
Laurence Olivier
Lee Grant
Lee Marvin
Leo McCarey
Leonardo DiCaprio
Lewis Milestone
Lila Kedrova
Linda Hunt
Lionel Barrymore
Liza Minnelli
Loretta Young
Louis Gossett, Jr.
Louise Fletcher
Luise Rainer
Lupita Nyong'o
Maggie Smith
Mahershala Ali
Marcia Gay Harden
Margaret Rutherford
Marie Dressler
Marion Cotillard
Marisa Tomei
Mark Rylance
Marlee Matlin
Marlon Brando
Martin Balsam
Martin Landau
Martin Scorsese
Mary Astor
Mary Pickford
Mary Steenburgen
Matthew McConaughey
Maureen Stapleton
Maximilian Schell
Mel Gibson
Melissa Leo
Melvyn Douglas
Mercedes McCambridge
Mercedes Ruehl
Meryl Streep
Michael Caine
Michael Cimino
Michael Curtiz
Michael Douglas
Michel Hazanavicius
Mike Nichols
Miloš Forman
Mira Sorvino
Miyoshi Umeki
Mo'Nique
Morgan Freeman
Natalie Portman
Nicolas Cage
Nicole Kidman
Norma Shearer
Norman Taurog
Octavia Spencer
Oliver Stone
Olivia Colman
Olivia de Havilland
Olympia Dukakis
Patricia Arquette
Patricia Neal
Patty Duke
Paul Lukas
Paul Muni
Paul Newman
Paul Scofield
Peggy Ashcroft
Penélope Cruz
Peter Finch
Peter Jackson
Peter Ustinov
Philip Seymour Hoffman
Rachel Weisz
Rami Malek
Ray Milland
Red Buttons
Reese Witherspoon
Regina King
Renée Zellweger
Rex Harrison
Richard Attenborough
Richard Dreyfuss
Rita Moreno
Robert Benton
Robert De Niro
Robert Donat
Robert Duvall
Robert Redford
Robert Wise
Robert Zemeckis
Roberto Benigni
Robin Williams
Rod Steiger
Roman Polanski
Ron Howard
Ronald Colman
Russell Crowe
Ruth Gordon
Sally Field
Sam Mendes
Sam Rockwell
Sandra Bullock
Sandy Dennis
Sean Connery
Sean Penn
Sebastián Lelio
Shelley Winters
Shirley Booth
Shirley Jones
Shirley MacLaine
Sidney Poitier
Simone Signoret
Sissy Spacek
Sophia Loren
Spencer Tracy
Steven Soderbergh
Steven Spielberg
Susan Hayward
Susan Sarandon
Sydney Pollack
Tatum O'Neal
Teresa Wright
Thomas Mitchell
Tilda Swinton
Tim Robbins
Timothy Hutton
Tom Hanks
Tom Hooper
Tommy Lee Jones
Tony Richardson
Van Heflin
Vanessa Redgrave
Victor Fleming
Victor McLaglen
Vincente Minnelli
Viola Davis
Vivien Leigh
Wallace Beery
Walter Brennan
Walter Huston
Walter Matthau
Warner Baxter
Warren Beatty
Wendy Hiller
Whoopi Goldberg
William Friedkin
William Holden
William Hurt
William Wyler
Woody Allen
Yul Brynner
