Adrien Brody
Al Pacino
Alan Arkin
Alec Guinness
Alejandro González Iñárritu
Alejandro González Iñárritu
Alfonso Cuarón
Alfonso Cuarón
Alice Brady
Alicia Vikander
Allison Janney
Ang Lee
Ang Lee
Angelina Jolie
Anjelica Huston
Anna Magnani
Anna Paquin
Anne Bancroft
Anne Baxter
Anne Hathaway
Anne Revere
Anthony Hopkins
Anthony Minghella
Anthony Quinn
Anthony Quinn
Art Carney
Asghar Farhadi
Audrey Hepburn
Barbra Streisand
Barry Fitzgerald
Barry Levinson
Beatrice Straight
Ben Johnson
Ben Kingsley
Benicio del Toro
Bernardo Bertolucci
Bette Davis
Bette Davis
Billy Wilder
Billy Wilder
Bob Fosse
Brad Pitt
Brenda Fricker
Brie Larson
Broderick Crawford
Burl Ives
Burt Lancaster
Carol Reed
Casey Affleck
Cate Blanchett
Catherine Zeta-Jones
Celeste Holm
Charles Coburn
Charles Laughton
Charlize Theron
Charlton Heston
Cher
Chris Cooper
Christian Bale
Christoph Waltz
Christoph Waltz
Christopher Plummer
Christopher Walken
Claire Trevor
Clark Gable
Claudette Colbert
Cliff Robertson
Clint Eastwood
Clint Eastwood
Cloris Leachman
Colin Firth
Cuba Gooding, Jr.
Damien Chazelle
Daniel Day-Lewis
Daniel Day-Lewis
Daniel Day-Lewis
Danny Boyle
David Lean
David Lean
David Niven
Dean Jagger
Delbert Mann
Denys Arcand
Denzel Washington
Denzel Washington
Diane Keaton
Dianne Wiest
Dianne Wiest
Don Ameche
Donald Crisp
Donna Reed
Dorothy Malone
Dustin Hoffman
Dustin Hoffman
Ed Begley
Eddie Redmayne
Edmond O'Brien
Edmund Gwenn
Eileen Heckart
Elia Kazan
Elia Kazan
Elizabeth Taylor
Elizabeth Taylor
Ellen Burstyn
Emil Jannings
Emma Stone
Emma Thompson
Ernest Borgnine
Estelle Parsons
Ethan Coen
Ethel Barrymore
Eva Marie Saint
F. Murray Abraham
Fay Bainter
Faye Dunaway
Forest Whitaker
Frances McDormand
Frances McDormand
Francis Ford Coppola
Frank Borzage
Frank Borzage
Frank Capra
Frank Capra
Frank Capra
Frank Lloyd
Frank Lloyd
Frank Sinatra
Franklin J. Schaffner
Fred Zinnemann
Fred Zinnemann
Fredric March
Fredric March
Gale Sondergaard
Gary Cooper
Gary Cooper
Gary Oldman
Geena Davis
Gene Hackman
Gene Hackman
Geoffrey Rush
George Arliss
George Burns
George Chakiris
George Clooney
George Cukor
George Roy Hill
George Kennedy
George Sanders
George C. Scott
George Stevens
George Stevens
Geraldine Page
Gig Young
Ginger Rogers
Glenda Jackson
Glenda Jackson
Gloria Grahame
Goldie Hawn
Grace Kelly
Greer Garson
Gregory Peck
Guillermo del Toro
Gwyneth Paltrow
Haing S. Ngor
Halle Berry
Harold Russell
Harry "Bing" Crosby
Hattie McDaniel
Heath Ledger
Helen Hayes
Helen Hayes
Helen Hunt
Helen Mirren
Henry Fonda
Hilary Swank
Hilary Swank
Holly Hunter
Hugh Griffith
Humphrey Bogart
Ingrid Bergman
Ingrid Bergman
Ingrid Bergman
Jack Albertson
Jack Lemmon
Jack Lemmon
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Palance
James L. Brooks
James Cagney
James Cameron
James Coburn
James Dunn
James Stewart
Jamie Foxx
Jane Darwell
Jane Fonda
Jane Fonda
Jane Wyman
Janet Gaynor
Jared Leto
Jason Robards
Jason Robards
Javier Bardem
Jean Dujardin
Jeff Bridges
Jennifer Connelly
Jennifer Hudson
Jennifer Jones
Jennifer Lawrence
Jeremy Irons
Jerome Robbins
Jessica Lange
Jessica Lange
Jessica Tandy
Jim Broadbent
Jo Van Fleet
Joan Crawford
Joan Fontaine
Joanne Woodward
Joaquin Phoenix
Jodie Foster
Jodie Foster
Joe Pesci
Joel Coen
Joel Grey
John G. Avildsen
John Ford
John Ford
John Ford
John Ford
John Gielgud
John Houseman
John Huston
John Mills
John Schlesinger
John Wayne
Jon Voight
Jonathan Demme
J. K. Simmons
Bong Joon-ho
José Ferrer
Joseph L. Mankiewicz
Joseph L. Mankiewicz
Joseph Schildkraut
Josephine Hull
Judi Dench
Judy Holliday
Julia Roberts
Julianne Moore
Julie Andrews
Julie Christie
Juliette Binoche
Karl Malden
Kate Winslet
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn
Katharine Hepburn
Kathryn Bigelow
Kathy Bates
Katina Paxinou
Kevin Costner
Kevin Kline
Kevin Spacey
Kevin Spacey
Kim Basinger
Kim Hunter
Laura Dern
Laurence Olivier
Lee Grant
Lee Marvin
Leo McCarey
Leo McCarey
Leonardo DiCaprio
Lewis Milestone
Lewis Milestone
Lila Kedrova
Linda Hunt
Lionel Barrymore
Liza Minnelli
Loretta Young
Louis Gossett, Jr.
Louise Fletcher
Luise Rainer
Luise Rainer
Lupita Nyong'o
Maggie Smith
Maggie Smith
Mahershala Ali
Mahershala Ali
Marcia Gay Harden
Margaret Rutherford
Marie Dressler
Marion Cotillard
Marisa Tomei
Mark Rylance
Marlee Matlin
Marlon Brando
Marlon Brando
Martin Balsam
Martin Landau
Martin Scorsese
Mary Astor
Mary Pickford
Mary Steenburgen
Matthew McConaughey
Maureen Stapleton
Maximilian Schell
Mel Gibson
Melissa Leo
Melvyn Douglas
Melvyn Douglas
Mercedes McCambridge
Mercedes Ruehl
Meryl Streep
Meryl Streep
Meryl Streep
Michael Caine
Michael Caine
Michael Cimino
Michael Curtiz
Michael Douglas
Michel Hazanavicius
Mike Nichols
Miloš Forman
Miloš Forman
Mira Sorvino
Miyoshi Umeki
Mo'Nique
Morgan Freeman
Natalie Portman
Nicolas Cage
Nicole Kidman
Norma Shearer
Norman Taurog
Octavia Spencer
Oliver Stone
Oliver Stone
Olivia Colman
Olivia de Havilland
Olivia de Havilland
Olympia Dukakis
Patricia Arquette
Patricia Neal
Patty Duke
Paul Lukas
Paul Muni
Paul Newman
Paul Scofield
Peggy Ashcroft
Penélope Cruz
Peter Finch
Peter Jackson
Peter Ustinov
Peter Ustinov
Philip Seymour Hoffman
Rachel Weisz
Rami Malek
Ray Milland
Red Buttons
Reese Witherspoon
Regina King
Renée Zellweger
Renée Zellweger
Rex Harrison
Richard Attenborough
Richard Dreyfuss
Rita Moreno
Robert Benton
Robert De Niro
Robert De Niro
Robert Donat
Robert Duvall
Robert Redford
Robert Wise
Robert Wise
Robert Zemeckis
Roberto Benigni
Robin Williams
Rod Steiger
Roman Polanski
Ron Howard
Ronald Colman
Russell Crowe
Ruth Gordon
Sally Field
Sally Field
Sam Mendes
Sam Rockwell
Sandra Bullock
Sandy Dennis
Sean Connery
Sean Penn
Sean Penn
Sebastián Lelio
Shelley Winters
Shelley Winters
Shirley Booth
Shirley Jones
Shirley MacLaine
Sidney Poitier
Simone Signoret
Sissy Spacek
Sophia Loren
Spencer Tracy
Spencer Tracy
Steven Soderbergh
Steven Spielberg
Steven Spielberg
Susan Hayward
Susan Sarandon
Sydney Pollack
Tatum O'Neal
Teresa Wright
Thomas Mitchell
Tilda Swinton
Tim Robbins
Timothy Hutton
Tom Hanks
Tom Hanks
Tom Hooper
Tommy Lee Jones
Tony Richardson
Van Heflin
Vanessa Redgrave
Victor Fleming
Victor McLaglen
Vincente Minnelli
Viola Davis
Vivien Leigh
Vivien Leigh
Wallace Beery
Walter Brennan
Walter Brennan
Walter Brennan
Walter Huston
Walter Matthau
Warner Baxter
Warren Beatty
Wendy Hiller
Whoopi Goldberg
William Friedkin
William Holden
William Hurt
William Wyler
William Wyler
William Wyler
Woody Allen
Yul Brynner
