Frédéric, Passy
Henri, Dunant
Charles, Albert Gobat
Élie, Ducommun
Randal, Cremer
Bertha, von Suttner
Theodore, Roosevelt
Ernesto, Teodoro Moneta
Louis, Renault
Fredrik, Bajer
Klas, Pontus Arnoldson
Auguste, Marie François Beernaert
Paul,-Henri-Benjamin d'Estournelles de Constant
Alfred, Hermann Fried
Tobias, Asser
Elihu, Root
Henri, La Fontaine
Woodrow, Wilson
Léon, Bourgeois
Christian, Lous Lange
Hjalmar, Branting
Fridtjof, Nansen
Austen, Chamberlain
Charles, G. Dawes
Aristide, Briand
Gustav, Stresemann
Ferdinand, Buisson
Ludwig, Quidde
Frank, B. Kellogg
Nathan, Söderblom
Jane, Addams
Nicholas, Murray Butler
Norman, Angell
Arthur, Henderson
Carl, von Ossietzky
Carlos, Saavedra Lamas
Robert, Cecil
Cordell, Hull
Emily, Greene Balch
John, Mott
John, Boyd Orr
Ralph, Bunche
Léon, Jouhaux
Albert, Schweitzer
George, Marshall
Lester, B. Pearson
Dominique, Pire
Philip, Noel-Baker
Albert, Lutuli
Dag, Hammarskjöld
Linus, Pauling
Martin, Luther King Jr.
René, Cassin
Norman, Borlaug
Willy, Brandt
Henry, Kissinger
Lê, Đức Thọ
Eisaku, Satō
Seán, MacBride
Andrei, Sakharov
Betty, Williams
Mairead, Maguire
Anwar, Sadat
Menachem, Begin
Teresa, of Calcutta
Adolfo, Pérez Esquivel
Alfonso, García Robles
Alva, Myrdal
Lech, Wałęsa
Desmond, Tutu
Elie, Wiesel
Óscar, Arias
Tenzin, Gyatso
Mikhail, Gorbachev
Aung, San Suu Kyi
Rigoberta, Menchú
F,. W. de Klerk
Nelson, Mandela
Shimon, Peres
Yasser, Arafat
Yitzhak, Rabin
Joseph, Rotblat
Carlos, Filipe Ximenes Belo
José, Ramos-Horta
Jody, Williams
David, Trimble
John, Hume
Kim, Dae-jung
Kofi, Annan
Jimmy, Carter
Shirin, Ebadi
Wangari, Maathai
Mohamed, ElBaradei
Muhammad, Yunus
Al, Gore
Martti, Ahtisaari
Barack, Obama
Liu, Xiaobo
Ellen, Johnson Sirleaf
Leymah, Gbowee
Tawakkol, Karman
Kailash, Satyarthi
Malala, Yousafzai
Juan, Manuel Santos
Denis, Mukwege
Nadia, Murad
Abiy, Ahmed
